Country,Code,Deaths,type,Population
Middle SDI,MIC,14552,Mortality,5664768985
Moldova,MDA,0,Mortality,2755158
Mongolia,MNG,0,Mortality,3113788
Montenegro,MNE,0,Mortality,622373
Morocco,MAR,0,Mortality,35581257
Mozambique,MOZ,18423,Mortality,28649007
Myanmar,MMR,3687,Mortality,53382521
Namibia,NAM,8,Mortality,2402623
Nepal,NPL,724,Mortality,27632682
Netherlands,NLD,0,Mortality,17131296
New Zealand,NZL,0,Mortality,4813600
Nicaragua,NIC,3,Mortality,6384843
Niger,NER,30485,Mortality,21602388
Nigeria,NGA,152240,Mortality,190873247
North Africa and Middle East,NAC,3814,Mortality,190873247
North America,,0,Mortality,361731296
North Korea,PRK,3,Mortality,361731296
North Macedonia,MKD,0,Mortality,2081996
Northern Ireland,,0,Mortality,2081996
Northern Mariana Islands,MNP,0,Mortality,56553
Norway,NOR,0,Mortality,5276968
Oceania,,645,Mortality,0
Oman,OMN,0,Mortality,4665926
Pakistan,PAK,4999,Mortality,207906210
Palestine,PSE,0,Mortality,17809
Panama,PAN,0,Mortality,4106764
Papua New Guinea,PNG,606,Mortality,8438038
Paraguay,PRY,0,Mortality,6867058
Peru,PER,6,Mortality,31444299
Philippines,PHL,101,Mortality,105172921
Poland,POL,0,Mortality,37974826
Portugal,PRT,0,Mortality,10300300
Puerto Rico,PRI,0,Mortality,3325286
Qatar,QAT,0,Mortality,2724727
Romania,ROU,0,Mortality,19588715
Russia,RUS,0,Mortality,19588715
Rwanda,RWA,3052,Mortality,11980960
Saint Lucia,LCA,0,Mortality,11980960
Saint Vincent and the Grenadines,VCT,0,Mortality,11980960
Samoa,WSM,0,Mortality,195358
Sao Tome and Principe,STP,0,Mortality,207086
Saudi Arabia,SAU,16,Mortality,33101183
Scotland,,0,Mortality,33101183
Senegal,SEN,2146,Mortality,15419354
Serbia,SRB,0,Mortality,7020858
Seychelles,SYC,0,Mortality,95843
Sierra Leone,SLE,11119,Mortality,7488427
Singapore,SGP,0,Mortality,5612253
Slovakia,SVK,0,Mortality,5439232
Slovenia,SVN,0,Mortality,2066388
Solomon Islands,SLB,2,Mortality,636030
Somalia,SOM,1155,Mortality,14589165
South Africa,ZAF,68,Mortality,57009751
South Asia,,58728,Mortality,1792883164
S. Korea,KOR,2,Mortality,11980960
S. Sudan,SSD,3863,Mortality,11980960
Southeast Asia,,13029,Mortality,10910774
"Southeast Asia, East Asia, and Oceania",,13782,Mortality,10910774
Southern Latin America,,0,Mortality,10910774
Southern Sub-Saharan Africa,,772,Mortality,10910774
Spain,ESP,0,Mortality,46593236
Sri Lanka,LKA,0,Mortality,21444000
Sub-Saharan Africa,,543289,Mortality,1050162810
Sudan,SDN,2552,Mortality,40813398
Suriname,SUR,3,Mortality,570501
Sweden,SWE,0,Mortality,10057698
Switzerland,CHE,0,Mortality,8451840
Syria,SYR,0,Mortality,8451840
Taiwan,TWN,0,Mortality,17095669
Tajikistan,TJK,0,Mortality,8880270
Tanzania,TZA,15325,Mortality,54660345
Thailand,THA,31,Mortality,69209817
Timor,TLS,2,Mortality,69209817
Togo,TGO,6904,Mortality,7698476
Tonga,TON,0,Mortality,102002
Trinidad and Tobago,TTO,0,Mortality,1384060
Tropical Latin America,,58,Mortality,1384060
Tunisia,TUN,0,Mortality,11433438
Turkey,TUR,0,Mortality,81116451
Turkmenistan,TKM,0,Mortality,5757667
Uganda,UGA,22237,Mortality,41166588
Ukraine,UKR,0,Mortality,44831135
United Arab Emirates,ARE,0,Mortality,9487206
United Kingdom,GBR,0,Mortality,66058859
United States of America,USA,0,Mortality,325122128
United States Virgin Islands,VIR,0,Mortality,325122128
Uruguay,URY,0,Mortality,3436645
Uzbekistan,UZB,0,Mortality,32388600
Vanuatu,VUT,1,Mortality,285499
Venezuela,VEN,16,Mortality,285499
Vietnam,VNM,1418,Mortality,94600643
Wales,,0,Mortality,107281
Western Europe,,0,Mortality,4454805
Western Sub-Saharan Africa,,347523,Mortality,4454805
World,OWID_WRL,619827,Mortality,7509410228
Yemen,YEM,6,Mortality,7509410228
Zambia,ZMB,4673,Mortality,16853608
Zimbabwe,ZWE,686,Mortality,14236599
Afghanistan,,982618,Incidence,36296111
Albania,,0,Incidence,2873457
Algeria,,0,Incidence,41389174
American Samoa,,0,Incidence,55617
Andean Latin America,,0,Incidence,55617
Andorra,,0,Incidence,76997
Angola,,6825325,Incidence,29816769
Antigua and Barbuda,,0,Incidence,95425
Argentina,,0,Incidence,44044811
Armenia,,0,Incidence,2944789
Australasia,,0,Incidence,105361
Australia,,0,Incidence,24601860
Austria,,0,Incidence,8797566
Azerbaijan,,0,Incidence,9854033
Bahamas,,0,Incidence,9854033
Bahrain,,0,Incidence,1494077
Bangladesh,,311020,Incidence,159685421
Barbados,,0,Incidence,286229
Belarus,,0,Incidence,9498264
Belgium,,0,Incidence,11375158
Belize,,10,Incidence,375775
Benin,,4465137,Incidence,11175192
Bermuda,,0,Incidence,63873
Bhutan,,15,Incidence,745563
Bolivia,,13655,Incidence,11192853
Bosnia and Herzegovina,,0,Incidence,3351534
Botswana,,4524,Incidence,2205076
Brazil,,1087921,Incidence,207833825
Brunei,,0,Incidence,29567
Bulgaria,,0,Incidence,7075947
Burkina Faso,,7676215,Incidence,19193236
Burundi,,2709703,Incidence,10827010
Cambodia,,286622,Incidence,16009413
Cameroon,,6441846,Incidence,24566070
Canada,,0,Incidence,36545295
Cape Verde,,0,Incidence,36545295
Caribbean,,0,Incidence,36545295
Central African Rep.,,1596323,Incidence,63382
Central Asia,,1596323,Incidence,4596023
Central Europe,,1596323,Incidence,4596023
"Central Europe, Eastern Europe, and Central Asia",,0,Incidence,102740078
Central Latin America,,0,Incidence,102740078
Central Sub-Saharan Africa,,0,Incidence,102740078
Chad,,2587410,Incidence,15016761
Chile,,0,Incidence,18470435
China,,0,Incidence,1386395000
Colombia,,365703,Incidence,48909844
Comoros,,3230,Incidence,813890
Congo,,3230,Incidence,813890
Costa Rica,,34,Incidence,4949955
Côte d'Ivoire,,8855281,Incidence,24437475
Croatia,,0,Incidence,4124531
Cuba,,0,Incidence,11339255
Cyprus,,0,Incidence,1179685
Czechia,,0,Incidence,10594438
Dem. Rep. Congo,,2542665,Incidence,10594438
Denmark,,0,Incidence,5764980
Djibouti,,19563,Incidence,944100
Dominica,,0,Incidence,71460
Dominican Republic,,634,Incidence,10513111
East Asia,,46855849,Incidence,3206485623
Eastern Europe,,7251765,Incidence,2042693823
Eastern Sub-Saharan Africa,,7251765,Incidence,2042693823
Ecuador,,43754,Incidence,16785356
Egypt,,43754,Incidence,16785356
El Salvador,,0,Incidence,6388124
England,,0,Incidence,6388124
Equatorial Guinea,,360585,Incidence,1262008
Eritrea,,0,Incidence,0
Estonia,,0,Incidence,1317384
Eswatini,,2586,Incidence,1124808
Ethiopia,,3909285,Incidence,106399926
Fiji,,0,Incidence,877460
Finland,,0,Incidence,5508214
France,,0,Incidence,66918020
Gabon,,524958,Incidence,2064812
Gambia,,524958,Incidence,2064812
Georgia,,0,Incidence,3728004
Germany,,0,Incidence,82657002
Ghana,,6190041,Incidence,29121464
Greece,,0,Incidence,10754679
Greenland,,0,Incidence,56172
Grenada,,0,Incidence,110874
Guam,,0,Incidence,164281
Guatemala,,5518,Incidence,16087418
Guinea,,3759396,Incidence,12067516
Guinea-Bissau,,143200,Incidence,1828146
Guyana,,25235,Incidence,775218
Haiti,,39039,Incidence,10982367
High SDI,,0,Incidence,1200273639
High-income,,0,Incidence,1200273639
High-income Asia Pacific,,0,Incidence,1200273639
High-middle SDI,,0,Incidence,1200273639
Honduras,,2071,Incidence,9429016
Hungary,,0,Incidence,9787966
Iceland,,0,Incidence,343400
India,,10003762,Incidence,1338676779
Indonesia,,1792690,Incidence,264650969
Iran,,1792690,Incidence,264650969
Iraq,,0,Incidence,37552789
