Country,Deaths,type,population
Réunion,358,Mortality,2724727
Romania,35132,Mortality,19588715
Russia,194249,Mortality,19588715
Rwanda,1180,Mortality,11980960
South Korea,2380,Mortality,1792883164
S. Sudan,121,Mortality,11980960
Saint Helena,0,Mortality,11980960
Saint Kitts and Nevis,8,Mortality,11980960
Saint Lucia,132,Mortality,11980960
Saint Martin,45,Mortality,11980960
Saint Pierre Miquelon,,Mortality,11980960
Samoa,0,Mortality,195358
San Marino,90,Mortality,33671
Sao Tome and Principe,42,Mortality,207086
Saudi Arabia,8633,Mortality,33101183
Senegal,1837,Mortality,15419354
Serbia,7601,Mortality,7020858
Seychelles,110,Mortality,95843
Sierra Leone,121,Mortality,7488427
Singapore,58,Mortality,5612253
Sint Maarten,58,Mortality,5612253
Slovakia,12562,Mortality,5439232
Slovenia,4473,Mortality,2066388
Solomon Islands,0,Mortality,636030
Somalia,1032,Mortality,14589165
South Africa,85302,Mortality,57009751
Spain,85548,Mortality,46593236
Sri Lanka,11567,Mortality,21444000
St. Barth,2,Mortality,21444000
St. Vincent Grenadines,13,Mortality,109826
Sudan,2873,Mortality,40813398
Suriname,773,Mortality,570501
Sweden,14688,Mortality,10057698
Switzerland,11010,Mortality,8451840
Syria,2090,Mortality,8451840
Taiwan,839,Mortality,17095669
Tajikistan,124,Mortality,8880270
Tanzania,50,Mortality,54660345
Thailand,14765,Mortality,69209817
Timor-Leste,98,Mortality,1243260
Togo,208,Mortality,7698476
Trinidad and Tobago,1386,Mortality,1384060
Tunisia,24274,Mortality,11433438
Turkey,60393,Mortality,81116451
Turkmenistan,0,Mortality,5757667
Turks and Caicos,21,Mortality,5757667
Uganda,3103,Mortality,41166588
Ukraine,54550,Mortality,44831135
United Arab Emirates,2066,Mortality,9487206
United Kingdom,134446,Mortality,66058859
United States of America,682341,Mortality,325122128
Uruguay,6044,Mortality,3436645
Uzbekistan,1169,Mortality,32388600
Vanuatu,1,Mortality,285499
Vatican City,0,Mortality,285499
Venezuela,4228,Mortality,285499
Vietnam,15936,Mortality,94600643
Wallis and Futuna,7,Mortality,107281
W. Sahara,1,Mortality,107281
Yemen,1608,Mortality,7509410228
Zambia,3635,Mortality,16853608
Zimbabwe,4550,Mortality,14236599
Afghanistan,154800,Incidence,36296111
Albania,165096,Incidence,2873457
Algeria,201766,Incidence,41389174
Andorra,15153,Incidence,76997
Angola,52644,Incidence,29816769
Anguilla,350,Incidence,29816769
Antigua and Barbuda,2603,Incidence,95425
Argentina,5243231,Incidence,44044811
Armenia,255648,Incidence,2944789
Aruba,15305,Incidence,105361
Australia,90372,Incidence,24601860
Austria,725163,Incidence,8797566
Azerbaijan,476409,Incidence,9854033
Bahamas,20288,Incidence,9854033
Bahrain,274524,Incidence,1494077
Bangladesh,1548320,Incidence,159685421
Barbados,6736,Incidence,286229
Belarus,522275,Incidence,9498264
Belgium,1229236,Incidence,11375158
Belize,18902,Incidence,375775
Benin,21450,Incidence,11175192
Bermuda,4632,Incidence,63873
Bhutan,2599,Incidence,745563
Bolivia,2599,Incidence,11192853
Bosnia and Herzegovina,229360,Incidence,3351534
Botswana,173788,Incidence,2205076
Brazil,21247094,Incidence,207833825
British Virgin Islands,2676,Incidence,29567
Brunei,2676,Incidence,29567
Bulgaria,487588,Incidence,7075947
Burkina Faso,14064,Incidence,19193236
Burundi,16356,Incidence,10827010
